config,alignment,loss,repr_mode,theta_deg,eer,delta_eer
A0_softmax,A0,softmax,raw_ply,0,0.08484848484848484,0.0
A0_softmax,A0,softmax,raw_ply,30,0.13049242424242424,0.0456439393939394
A0_softmax,A0,softmax,raw_ply,60,0.17481060606060606,0.08996212121212122
A0_softmax,A0,softmax,raw_ply,90,0.40776515151515147,0.32291666666666663
A0_softmax,A0,softmax,raw_ply,180,0.41761363636363635,0.3327651515151515
A0_arcface,A0,arcface,raw_ply,0,0.10151515151515152,0.0
A0_arcface,A0,arcface,raw_ply,30,0.11155303030303029,0.010037878787878776
A0_arcface,A0,arcface,raw_ply,60,0.21647727272727274,0.11496212121212122
A0_arcface,A0,arcface,raw_ply,90,0.3931818181818182,0.2916666666666667
A0_arcface,A0,arcface,raw_ply,180,0.38901515151515154,0.28750000000000003
A1_softmax,A1,softmax,align_center,0,0.028787878787878786,0.0
A1_softmax,A1,softmax,align_center,30,0.023484848484848483,-0.0053030303030303025
A1_softmax,A1,softmax,align_center,60,0.08825757575757576,0.05946969696969697
A1_softmax,A1,softmax,align_center,90,0.3268939393939394,0.2981060606060606
A1_softmax,A1,softmax,align_center,180,0.35018939393939397,0.32140151515151516
A1_arcface,A1,arcface,align_center,0,0.0035984848484848482,0.0
A1_arcface,A1,arcface,align_center,30,0.003977272727272727,0.0003787878787878786
A1_arcface,A1,arcface,align_center,60,0.06212121212121212,0.05852272727272727
A1_arcface,A1,arcface,align_center,90,0.3827651515151515,0.37916666666666665
A1_arcface,A1,arcface,align_center,180,0.4244318181818182,0.42083333333333334
A2_softmax,A2,softmax,align_centerscale,0,0.0003787878787878788,0.0
A2_softmax,A2,softmax,align_centerscale,30,0.003977272727272727,0.0035984848484848482
A2_softmax,A2,softmax,align_centerscale,60,0.043939393939393945,0.043560606060606064
A2_softmax,A2,softmax,align_centerscale,90,0.3615530303030303,0.36117424242424245
A2_softmax,A2,softmax,align_centerscale,180,0.4160984848484849,0.415719696969697
A2_arcface,A2,arcface,align_centerscale,0,0.0,0.0
A2_arcface,A2,arcface,align_centerscale,30,0.0001893939393939394,0.0001893939393939394
A2_arcface,A2,arcface,align_centerscale,60,0.04128787878787879,0.04128787878787879
A2_arcface,A2,arcface,align_centerscale,90,0.36022727272727273,0.36022727272727273
A2_arcface,A2,arcface,align_centerscale,180,0.36420454545454545,0.36420454545454545
A3_softmax,A3,softmax,canonical_npy,0,0.0071969696969696965,0.0
A3_softmax,A3,softmax,canonical_npy,30,0.007765151515151515,0.0005681818181818184
A3_softmax,A3,softmax,canonical_npy,60,0.007386363636363637,0.0001893939393939406
A3_softmax,A3,softmax,canonical_npy,90,0.40132575757575756,0.39412878787878786
A3_softmax,A3,softmax,canonical_npy,180,0.0005681818181818182,-0.006628787878787878
A3_arcface,A3,arcface,canonical_npy,0,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,30,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,60,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,90,0.4107954545454545,0.4107954545454545
A3_arcface,A3,arcface,canonical_npy,180,0.0007575757575757576,0.0007575757575757576
A4_softmax,A4,softmax,align_pca_robust,0,0.010606060606060605,0.0
A4_softmax,A4,softmax,align_pca_robust,30,0.011553030303030303,0.0009469696969696979
A4_softmax,A4,softmax,align_pca_robust,60,0.010037878787878788,-0.0005681818181818166
A4_softmax,A4,softmax,align_pca_robust,90,0.007765151515151515,-0.00284090909090909
A4_softmax,A4,softmax,align_pca_robust,180,0.008333333333333333,-0.0022727272727272717
A4_arcface,A4,arcface,align_pca_robust,0,0.008143939393939394,0.0
A4_arcface,A4,arcface,align_pca_robust,30,0.004734848484848485,-0.0034090909090909094
A4_arcface,A4,arcface,align_pca_robust,60,0.006628787878787879,-0.0015151515151515154
A4_arcface,A4,arcface,align_pca_robust,90,0.003977272727272727,-0.0041666666666666675
A4_arcface,A4,arcface,align_pca_robust,180,0.008143939393939394,0.0
A5_softmax,A5,softmax,align_anatomical,0,0.13522727272727272,0.0
A5_softmax,A5,softmax,align_anatomical,30,0.1365530303030303,0.0013257575757575635
A5_softmax,A5,softmax,align_anatomical,60,0.13768939393939394,0.002462121212121221
A5_softmax,A5,softmax,align_anatomical,90,0.13844696969696968,0.0032196969696969557
A5_softmax,A5,softmax,align_anatomical,180,0.13333333333333333,-0.0018939393939393923
A5_arcface,A5,arcface,align_anatomical,0,0.12878787878787878,0.0
A5_arcface,A5,arcface,align_anatomical,30,0.12916666666666665,0.00037878787878786735
A5_arcface,A5,arcface,align_anatomical,60,0.13712121212121212,0.008333333333333331
A5_arcface,A5,arcface,align_anatomical,90,0.13333333333333333,0.004545454545454547
A5_arcface,A5,arcface,align_anatomical,180,0.13295454545454544,0.004166666666666652
