config,alignment,loss,repr_mode,theta_deg,eer,delta_eer
A0_softmax,A0,softmax,raw_ply,0,0.08409090909090909,0.0
A0_softmax,A0,softmax,raw_ply,30,0.12026515151515152,0.03617424242424243
A0_softmax,A0,softmax,raw_ply,60,0.17329545454545453,0.08920454545454544
A0_softmax,A0,softmax,raw_ply,90,0.4115530303030303,0.3274621212121212
A0_softmax,A0,softmax,raw_ply,180,0.42215909090909093,0.3380681818181818
A0_arcface,A0,arcface,raw_ply,0,0.10454545454545455,0.0
A0_arcface,A0,arcface,raw_ply,30,0.11231060606060606,0.007765151515151503
A0_arcface,A0,arcface,raw_ply,60,0.2043560606060606,0.09981060606060604
A0_arcface,A0,arcface,raw_ply,90,0.37916666666666665,0.2746212121212121
A0_arcface,A0,arcface,raw_ply,180,0.39034090909090907,0.2857954545454545
A1_softmax,A1,softmax,align_center,0,0.011742424242424242,0.0
A1_softmax,A1,softmax,align_center,30,0.01893939393939394,0.007196969696969698
A1_softmax,A1,softmax,align_center,60,0.08693181818181818,0.07518939393939394
A1_softmax,A1,softmax,align_center,90,0.3346590909090909,0.3229166666666667
A1_softmax,A1,softmax,align_center,180,0.334469696969697,0.32272727272727275
A1_arcface,A1,arcface,align_center,0,0.007575757575757576,0.0
A1_arcface,A1,arcface,align_center,30,0.0,-0.007575757575757576
A1_arcface,A1,arcface,align_center,60,0.05757575757575757,0.049999999999999996
A1_arcface,A1,arcface,align_center,90,0.3878787878787879,0.3803030303030303
A1_arcface,A1,arcface,align_center,180,0.42746212121212124,0.41988636363636367
A2_softmax,A2,softmax,align_centerscale,0,0.0011363636363636363,0.0
A2_softmax,A2,softmax,align_centerscale,30,0.0015151515151515152,0.00037878787878787884
A2_softmax,A2,softmax,align_centerscale,60,0.03068181818181818,0.029545454545454545
A2_softmax,A2,softmax,align_centerscale,90,0.35056818181818183,0.3494318181818182
A2_softmax,A2,softmax,align_centerscale,180,0.4193181818181818,0.41818181818181815
A2_arcface,A2,arcface,align_centerscale,0,0.0,0.0
A2_arcface,A2,arcface,align_centerscale,30,0.0,0.0
A2_arcface,A2,arcface,align_centerscale,60,0.03143939393939394,0.03143939393939394
A2_arcface,A2,arcface,align_centerscale,90,0.359469696969697,0.359469696969697
A2_arcface,A2,arcface,align_centerscale,180,0.3626893939393939,0.3626893939393939
A3_softmax,A3,softmax,canonical_npy,0,0.007765151515151515,0.0
A3_softmax,A3,softmax,canonical_npy,30,0.008522727272727272,0.0007575757575757572
A3_softmax,A3,softmax,canonical_npy,60,0.007386363636363637,-0.00037878787878787776
A3_softmax,A3,softmax,canonical_npy,90,0.40189393939393936,0.39412878787878786
A3_softmax,A3,softmax,canonical_npy,180,0.008522727272727272,0.0007575757575757572
A3_arcface,A3,arcface,canonical_npy,0,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,30,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,60,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,90,0.4102272727272727,0.4102272727272727
A3_arcface,A3,arcface,canonical_npy,180,0.0,0.0
A4_softmax,A4,softmax,align_pca_robust,0,0.007007575757575758,0.0
A4_softmax,A4,softmax,align_pca_robust,30,0.010416666666666668,0.0034090909090909102
A4_softmax,A4,softmax,align_pca_robust,60,0.007954545454545454,0.0009469696969696961
A4_softmax,A4,softmax,align_pca_robust,90,0.007765151515151515,0.0007575757575757572
A4_softmax,A4,softmax,align_pca_robust,180,0.004356060606060606,-0.0026515151515151512
A4_arcface,A4,arcface,align_pca_robust,0,0.000946969696969697,0.0
A4_arcface,A4,arcface,align_pca_robust,30,0.006818181818181819,0.005871212121212122
A4_arcface,A4,arcface,align_pca_robust,60,0.004166666666666667,0.0032196969696969696
A4_arcface,A4,arcface,align_pca_robust,90,0.006818181818181819,0.005871212121212122
A4_arcface,A4,arcface,align_pca_robust,180,0.008522727272727272,0.007575757575757575
A5_softmax,A5,softmax,align_anatomical,0,0.15018939393939396,0.0
A5_softmax,A5,softmax,align_anatomical,30,0.15018939393939396,0.0
A5_softmax,A5,softmax,align_anatomical,60,0.13257575757575757,-0.017613636363636387
A5_softmax,A5,softmax,align_anatomical,90,0.14602272727272728,-0.00416666666666668
A5_softmax,A5,softmax,align_anatomical,180,0.14583333333333334,-0.004356060606060613
A5_arcface,A5,arcface,align_anatomical,0,0.13920454545454544,0.0
A5_arcface,A5,arcface,align_anatomical,30,0.13314393939393937,-0.006060606060606072
A5_arcface,A5,arcface,align_anatomical,60,0.13446969696969696,-0.004734848484848481
A5_arcface,A5,arcface,align_anatomical,90,0.13617424242424242,-0.003030303030303022
A5_arcface,A5,arcface,align_anatomical,180,0.13825757575757575,-0.0009469696969696961
