config,alignment,loss,repr_mode,eer_n5m5_mean,eer_n5m5_std,n_seed
A0_softmax,A0,softmax,raw_ply,0.1293939393939394,0.02776657257928558,5
A0_arcface,A0,arcface,raw_ply,0.1690909090909091,0.014232749776748332,5
A1_softmax,A1,softmax,align_center,0.025151515151515137,0.014070529413628961,5
A1_arcface,A1,arcface,align_center,0.01151515151515151,0.010523488093445653,5
A2_softmax,A2,softmax,align_centerscale,0.0006060606060606061,0.0012121212121212121,5
A2_arcface,A2,arcface,align_centerscale,0.0006060606060606061,0.0012121212121212121,5
A3_softmax,A3,softmax,canonical_npy,0.00030303030303030303,0.0006060606060606061,5
A3_arcface,A3,arcface,canonical_npy,0.0,0.0,5
A4_softmax,A4,softmax,align_pca_robust,0.02181818181818181,0.026113406694315774,5
A4_arcface,A4,arcface,align_pca_robust,0.002424242424242424,0.00205525151003796,5
A5_softmax,A5,softmax,align_anatomical,0.0018181818181818182,0.002937987792373533,5
A5_arcface,A5,arcface,align_anatomical,0.005151515151515148,0.005300865358950268,5
