config,alignment,loss,repr_mode,eer_n5m5_mean,eer_n5m5_std,n_seed
A0_softmax,A0,softmax,raw_ply,0.10818181818181818,0.0403679131413378,5
A0_arcface,A0,arcface,raw_ply,0.1672727272727273,0.03837373604430722,5
A1_softmax,A1,softmax,align_center,0.02484848484848483,0.004848484848484848,5
A1_arcface,A1,arcface,align_center,0.017878787878787872,0.014671173862921452,5
A2_softmax,A2,softmax,align_centerscale,0.0,0.0,5
A2_arcface,A2,arcface,align_centerscale,0.0,0.0,5
A3_softmax,A3,softmax,canonical_npy,0.00030303030303030303,0.0006060606060606061,5
A3_arcface,A3,arcface,canonical_npy,0.0,0.0,5
A4_softmax,A4,softmax,align_pca_robust,0.011212121212121206,0.013229624213904887,5
A4_arcface,A4,arcface,align_pca_robust,0.005757575757575755,0.0092610344181431,5
A5_softmax,A5,softmax,align_anatomical,0.0015151515151515152,0.0030303030303030303,5
A5_arcface,A5,arcface,align_anatomical,0.005151515151515148,0.005386784495342776,5
